band,correction,dswe,sat_corr,sat_to,method,intercept,slope,B1,B2,min_in_val,max_in_val
med_Blue,Roy,DSWE1a,LS9,LS8,lm,0.006309975672247919,0.7499039223636149,NA,NA,-0.009397500000000005,0.1972375
med_Blue,Roy,DSWE1a,LS9,LS8,deming,-3.942568906780059e-5,1.0044880359482538,NA,NA,-0.009397500000000005,0.1972375
med_Green,Roy,DSWE1a,LS9,LS8,lm,0.009606243122749967,0.801410422589372,NA,NA,8.874999999999855e-4,0.199685
med_Green,Roy,DSWE1a,LS9,LS8,deming,-5.53044532824894e-4,1.0192070545706207,NA,NA,8.874999999999855e-4,0.199685
med_Red,Roy,DSWE1a,LS9,LS8,lm,0.006238928037364464,0.825707016319013,NA,NA,-0.0098375,0.19963
med_Red,Roy,DSWE1a,LS9,LS8,deming,2.0738297839612688e-4,0.9988312867054503,NA,NA,-0.0098375,0.19963
med_Nir,Roy,DSWE1a,LS9,LS8,lm,0.010304207214049507,0.7414335484814959,NA,NA,-0.0098375,0.1993275
med_Nir,Roy,DSWE1a,LS9,LS8,deming,-0.0010995690064862335,1.0389197476259215,NA,NA,-0.0098375,0.1993275
med_SurfaceTemp,Roy,DSWE1a,LS9,LS8,lm,12.365371058003227,0.9575689535901917,NA,NA,273.15274046,313.14870149
med_SurfaceTemp,Roy,DSWE1a,LS9,LS8,deming,-1.1646312565120531,1.0037904123145196,NA,NA,273.15274046,313.14870149
med_Blue,Gardner,DSWE1,LS5,LS7,poly,0.005393723674825664,NA,0.5824342974333573,5.4789805364812505,0.011557499999999984,0.09925499999999998
med_Green,Gardner,DSWE1,LS5,LS7,poly,0.001564338870324982,NA,0.6997042456445716,2.062137505650227,0.014018749999999996,0.1442175
med_Red,Gardner,DSWE1,LS5,LS7,poly,-0.0019945142601865756,NA,0.8633099010807223,0.8581621344021516,0.00883500000000001,0.15392499999999998
med_Nir,Gardner,DSWE1,LS5,LS7,poly,-0.0033992910145336152,NA,0.9876054472934346,-0.481477805482845,0.012135000000000009,0.12989
med_SurfaceTemp,Gardner,DSWE1,LS5,LS7,poly,768.1121696815529,NA,-4.2201748752387624,0.008820788584677474,274.18669151,309.38375246
med_Blue,Gardner,DSWE1a,LS5,LS7,poly,0.005268120589185166,NA,0.5899780980837762,5.419908654681574,0.011557499999999998,0.09909
med_Green,Gardner,DSWE1a,LS5,LS7,poly,0.0013261980444554875,NA,0.7090618151413737,2.011308731535186,0.014046249999999996,0.1439975
med_Red,Gardner,DSWE1a,LS5,LS7,poly,-0.002127200297381478,NA,0.8703343841292097,0.8203482856453118,0.008862499999999995,0.15367750000000002
med_Nir,Gardner,DSWE1a,LS5,LS7,poly,-0.003395011640258728,NA,0.9841033973589276,-0.4305663011774508,0.012162499999999993,0.1316775
